d12 phi1 psi r1
0.0474 161.7 50.33 2.0155
0.12380000000000001 157.01999999999998 30.87 2.1275
0.1486 160.86 57.33 1.9795
0.0722 169.86 30.31 1.9805
0.17500000000000002 163.26 25.97 2.1125
0.11180000000000001 141.9 17.43 1.9585
0.08100000000000002 157.74 56.91 2.0235
0.043800000000000006 132.06 27.23 1.8995
0.1686 172.86 59.15 2.1595
0.0478 164.94 10.85 2.0435
0.1138 168.3 39.97 2.2495
0.095 168.54000000000002 26.67 1.8845
0.1414 149.7 49.91 2.1915
0.051000000000000004 134.94 12.53 2.1555
0.0194 148.86 48.23 2.0305
0.07940000000000001 164.22 40.529999999999994 2.0975
0.11699999999999999 130.86 12.95 2.1245
0.0782 146.82 27.790000000000003 2.1565
0.06780000000000001 152.82 41.37 2.0685
0.0674 156.54 9.87 1.8655
0.1218 172.5 63.63 1.9465
0.15460000000000002 153.42000000000002 7.49 2.0495
0.13140000000000002 159.54 54.11 1.9015
0.099 140.94 51.73 1.9875
0.16820000000000002 172.26 22.75 2.2474999999999996
0.10980000000000001 129.06 24.99 2.0045
0.05580000000000001 170.82 25.689999999999998 1.9035
0.17980000000000002 130.62 4.27 2.1235
0.019000000000000003 126.3 26.53 1.9665
0.0298 156.18 32.13 1.8595
0.05380000000000001 147.06 61.25 1.8535
0.1626 127.5 24.57 1.9845
0.1418 162.9 36.89 2.0595
0.0854 160.62 65.17 2.2175
0.15660000000000002 158.94 3.85 1.9275
0.0882 141.78 34.37 2.2384999999999997
0.1278 140.7 37.03 1.8915
0.023000000000000003 137.94 35.63 1.9425
0.1274 168.42000000000002 35.49 2.1585
0.11060000000000002 139.38 37.17 2.1345
0.1718 171.66 20.229999999999997 1.9075
0.1458 133.02 40.669999999999995 2.0524999999999998
0.0358 129.18 16.03 1.9775
0.1474 170.94 28.21 2.0895
0.033800000000000004 147.3 55.650000000000006 2.1294999999999997
0.0726 151.38 21.77 2.2565
0.1078 127.86 34.23 2.2155
0.1906 134.7 13.930000000000001 1.9605
0.13660000000000003 143.46 20.93 2.1494999999999997
0.083 172.38 6.79 1.9695
0.1158 175.86 8.469999999999999 1.9025
0.0578 132.42 17.71 2.2335
0.129 157.5 14.07 1.9995
0.15980000000000003 136.26 21.91 2.1995
0.037 140.58 30.169999999999998 1.8375000000000001
0.1654 121.14 2.87 2.1725
0.1166 128.82 66.28999999999999 2.1685
0.1494 176.34 42.35 1.9915
0.0398 166.26 56.77 2.2285
0.0858 163.38 49.629999999999995 1.9575
0.18660000000000002 159.42000000000002 53.410000000000004 2.0915
0.1882 124.74 21.07 2.0585
0.0922 152.34 19.67 2.0065
0.15500000000000003 152.7 31.71 1.8965
0.0994 137.1 17.15 1.8325
0.0598 134.46 45.57 1.9545
0.05460000000000001 123.06 4.83 2.0515
0.1554 161.34 42.07 2.2295
