phi r1 r2
13.24 2.1624999999999996 2.1955
19.72 2.2275 2.0175
11.719999999999999 2.1544999999999996 2.1065
32.76 2.1094999999999997 1.9224999999999999
22.759999999999998 2.0915 2.0265
14.76 1.9785 2.1145
3.24 1.9805 2.1305
28.04 2.0505 2.1565
4.76 1.8755 1.8485
8.36 2.2544999999999997 2.1365
13.16 2.1765 2.1395
32.68 1.9455 2.2095
9.16 2.2344999999999997 1.9065
33.4 2.0225 1.9835
4.36 1.9715 2.0854999999999997
33.96 1.8645 2.2535
19.48 1.9565 2.1965
27.0 2.1395 2.2125
15.72 2.0675 1.8495
14.6 2.0575 1.9455
11.479999999999999 1.9085 2.2264999999999997
5.16 1.8305 2.2295
35.4 2.2375 1.9995
8.44 1.9125 2.0255
29.0 1.9275 2.0355
28.2 1.9685 2.1445
23.4 2.0865 1.9375
17.32 2.2685 1.8985
30.2 2.0385 2.0785
3.3200000000000003 1.8715 1.9035
12.28 2.0295 1.8505
35.16 2.1784999999999997 2.0705
8.6 1.8735 2.2045
21.32 1.9765 1.8375000000000001
7.800000000000001 2.1845 1.9745
3.4799999999999995 2.2055 1.8865
16.919999999999998 2.1174999999999997 2.2155
34.6 2.2675 2.1425
17.8 2.2215 1.9115
33.56 2.2155 1.8475
6.760000000000001 2.0854999999999997 2.0215
20.6 1.8615 2.0825
24.84 2.2104999999999997 2.1025
7.24 2.1115 2.1624999999999996
8.68 2.0705 1.9465
33.0 1.8725 1.8435
22.68 1.9735 2.2805
15.48 2.1985 2.0875
14.52 2.0055 2.0324999999999998
21.16 2.0284999999999997 2.0444999999999998
33.08 2.0905 2.1605
36.52 1.8995 2.2504999999999997
23.88 2.2424999999999997 1.9735
12.6 1.8455 2.0745
24.04 1.9365 1.9095
18.28 1.9255 1.9515
8.84 1.9135 2.1055
31.48 1.9045 2.2605
37.72 1.8355000000000001 1.9295
34.44 1.9885 1.8825
25.560000000000002 1.9865 2.1825
20.28 1.8635 1.8925
2.84 2.1585 2.1944999999999997
33.32 1.8255000000000001 2.1405
30.6 2.2165 1.9645
4.04 2.0465 1.8255000000000001
8.76 1.8225 2.0675
12.92 2.1635 1.8965
28.439999999999998 2.0015 1.9665
5.48 2.0045 1.9765
10.2 2.1425 2.2285
19.4 1.8495 1.8365
11.559999999999999 2.0095 1.9365
10.84 2.0725 2.2554999999999996
37.400000000000006 2.2645 1.8625
1.4000000000000001 2.2615 1.8575
32.440000000000005 1.9175 2.1454999999999997
39.0 2.1494999999999997 2.2424999999999997
25.72 1.8525 2.1985
19.32 1.9675 1.9865
6.6000000000000005 2.0715 1.8745
23.56 2.1245 2.1665
7.5600000000000005 2.1995 1.8595
16.12 1.9815 2.2365
13.879999999999999 2.1565 2.0545
10.68 2.0615 1.8895
13.64 1.9264999999999999 2.1334999999999997
31.32 1.8825 2.0275
2.92 2.2235 2.0735
29.8 2.2944999999999998 1.9015
38.839999999999996 2.1605 1.9685
37.879999999999995 2.2415 1.8035
12.52 2.2485 2.1975
6.2 2.2714999999999996 2.2655
24.6 1.8965 2.1214999999999997
2.6 1.9555 2.2695
27.72 2.1825 2.2675
15.16 1.9435 1.9175
21.080000000000002 1.8665 2.0084999999999997
15.64 2.0685 2.1544999999999996
18.52 1.8125 2.1105
20.04 2.1965 2.2055
25.0 2.2285 2.0484999999999998
7.640000000000001 2.1075 2.2735
0.52 1.8805 2.1085
12.68 1.9615 1.9885
8.120000000000001 1.9975 2.0335
29.24 2.1805 1.8125
26.840000000000003 1.8315000000000001 2.1315
38.68 2.1675 2.1165
11.399999999999999 2.2304999999999997 1.9795
1.1600000000000001 2.2144999999999997 1.8205
27.080000000000002 2.1905 1.9985
29.32 1.9055 1.9675
23.479999999999997 2.0175 1.8695
9.64 2.0535 2.1795
29.88 2.2255 2.2015
5.88 1.9855 2.2175
31.240000000000002 1.8855 1.9085
39.24 2.2394999999999996 2.2375
21.720000000000002 2.2834999999999996 2.0615
32.519999999999996 2.1725 2.1174999999999997
37.24 2.0604999999999998 1.8135000000000001
1.7199999999999998 2.1525 2.2584999999999997
38.12 2.1875 2.2914999999999996
24.119999999999997 1.8435 2.0524999999999998
34.68 2.1885 2.2455
29.4 1.8015 2.0125
21.240000000000002 2.1235 1.9025
5.32 1.8205 1.9075
6.36 1.8405 2.1765
28.36 1.8655 1.8355000000000001
15.08 2.2735 2.0415
9.0 2.1145 1.8885
25.08 1.9315 2.0204999999999997
33.239999999999995 2.0404999999999998 2.1805
37.64 2.0815 2.2845
28.84 1.9535 2.0945
18.04 1.9425 2.1254999999999997
1.7999999999999998 1.8045 2.2195
39.96 2.0255 2.0895
17.56 1.9465 1.8175000000000001
