phi1 phi2 r1 r2
92.255 144.925 2.1595 2.0155
136.185 135.95499999999998 2.0204999999999997 2.1275
150.445 143.315 2.2095 1.9795
106.515 160.565 2.0164999999999997 1.9805
165.625 147.915 1.9855 2.1125
129.28500000000003 106.975 1.9245 1.9585
111.575 137.33499999999998 2.2064999999999997 2.0235
90.185 88.11500000000001 1.9945 1.8995
161.945 166.315 2.2224999999999997 2.1595
92.485 151.135 1.8775 2.0435
130.435 157.575 2.0854999999999997 2.2495
119.625 158.03500000000003 1.9905 1.8845
146.305 121.925 2.1565 2.1915
94.325 93.635 1.8895 2.1555
76.155 120.315 2.1445 2.0305
110.655 149.755 2.0895 2.0975
132.27499999999998 85.815 1.8925 2.1245
109.965 116.405 1.9985 2.1565
103.985 127.905 2.0955 2.0685
103.755 135.035 1.8705 1.8655
135.035 165.625 2.2544999999999997 1.9465
153.89499999999998 129.055 1.8535 2.0495
140.555 140.785 2.1864999999999997 1.9015
121.925 105.13499999999999 2.1694999999999998 1.9875
161.715 165.16500000000002 1.9625 2.2474999999999996
128.135 82.365 1.9785 2.0045
97.08500000000001 162.405 1.9835 1.9035
168.385 85.355 1.8305 2.1235
75.925 77.075 1.9895 1.9665
82.13499999999999 134.345 2.0295 1.8595
95.935 116.86500000000001 2.2375 1.8535
158.495 79.375 1.9755 1.9845
146.535 147.225 2.0635 2.0595
114.10499999999999 142.85500000000002 2.2655 2.2175
155.04500000000002 139.635 1.8275000000000001 1.9275
115.715 106.745 2.0455 2.2384999999999997
138.485 104.675 2.0645 1.8915
78.225 99.38499999999999 2.0545 1.9425
138.255 157.805 2.0535 2.1585
128.595 102.14500000000001 2.0655 2.1345
163.785 164.015 1.9445 1.9075
148.83499999999998 89.955 2.0905 2.0524999999999998
85.58500000000001 82.595 1.9145 1.9775
149.755 162.635 2.0015 2.0895
84.435 117.325 2.1975 2.1294999999999997
106.745 125.14500000000001 1.9555 2.2565
126.98500000000001 80.065 2.0444999999999998 2.2155
