d2 phi1 phi2 r1 r2
0.0759 10.89 70.89 2.0785 2.0615
0.0645 5.1899999999999995 73.71000000000001 2.0455 1.9425
0.1875 21.87 69.99 2.0705 1.9725
0.1995 14.069999999999999 74.37 1.9545 1.9935
0.0819 6.57 79.83 2.1795 2.2175
0.1563 26.25 84.39 2.1065 2.1725
0.17129999999999998 15.63 75.57 2.2085 1.9165
0.0933 10.77 75.15 2.2135 2.0645
0.0657 9.51 73.23 2.1105 2.0745
0.12869999999999998 18.69 72.33 1.9695 2.2275
0.1365 15.99 78.21000000000001 1.8865 2.1944999999999997
0.2379 6.8100000000000005 68.43 2.1845 2.1995
0.2241 23.490000000000002 76.47 2.1025 2.1765
0.2223 19.47 81.33 1.9505 2.0315
0.1725 11.61 85.95 1.8575 2.1365
0.0501 1.41 76.65 2.2375 2.1325
0.0957 11.370000000000001 84.45 2.0225 2.1694999999999998
0.1515 7.47 63.57 1.9395 2.0735
0.1605 17.009999999999998 85.11 1.9195 2.0065
0.10769999999999999 17.49 79.17 2.1685 2.1585
0.2283 18.33 87.69 2.1414999999999997 2.1845
0.0951 27.630000000000003 82.11 2.0495 2.1285
0.0909 18.39 75.93 1.9495 1.9685
0.1065 11.790000000000001 70.65 1.9955 2.0695
0.12389999999999998 24.63 77.85 1.9765 2.0575
0.1347 5.79 78.27 2.2504999999999997 1.9625
0.2859 25.65 83.67 2.2125 2.2235
0.0705 14.79 71.31 2.1544999999999996 1.8815
0.2673 10.53 66.21 1.9224999999999999 2.0765
0.0993 21.509999999999998 67.05 2.2805 2.0195
0.1029 16.35 85.05 2.0364999999999998 2.0395
0.0963 14.549999999999999 63.09 1.8985 1.9224999999999999
0.1923 9.39 64.83 1.9415 1.9535
0.0147 6.03 66.39 2.0035 1.9245
0.21569999999999998 24.509999999999998 86.73 1.9595 2.2595
0.0741 13.65 78.15 2.0404999999999998 2.0244999999999997
0.17489999999999997 9.15 84.81 1.9665 2.2115
0.25289999999999996 2.37 79.41 1.9565 2.1835
0.2565 17.97 87.57 1.9065 1.9955
0.2979 4.17 72.39 2.1915 1.9975
0.0693 6.87 80.13 1.9184999999999999 2.0305
0.036899999999999995 20.79 69.27 2.2325 2.1155
0.1437 20.310000000000002 68.61 2.1645 2.0905
0.0393 11.97 78.45 2.1125 2.1385
0.2715 5.49 70.41 2.1805 1.8355000000000001
0.0801 26.55 69.93 1.9255 1.9264999999999999
0.2193 10.83 78.93 2.2495 1.9145
0.2229 13.35 62.01 2.0015 2.1864999999999997
0.0201 7.65 79.89 1.9865 1.8635
0.14909999999999998 20.07 75.81 2.2424999999999997 2.2695
0.1425 25.049999999999997 85.65 2.0175 2.2775
0.0465 6.69 87.51 1.9885 1.8365
0.011099999999999999 1.5299999999999998 64.71 2.0095 2.0255
0.2211 21.15 62.91 1.9945 2.0985
0.10409999999999998 2.67 72.57 2.2035 1.8775
0.0687 21.57 71.67 2.0444999999999998 2.2435
0.1389 22.35 81.63 1.8515 2.0185
0.2001 11.55 63.21 1.8075 2.1075
0.1587 24.45 60.93 2.0945 1.8945
0.1329 7.59 78.99000000000001 2.0195 1.8515
0.1035 15.690000000000001 85.83 2.2735 1.8575
0.0891 3.5100000000000002 64.11 2.0505 1.9665
0.2133 13.770000000000001 68.91 2.2535 1.8535
0.2733 0.03 68.78999999999999 1.8835 1.9435
0.0195 26.009999999999998 84.99 1.8735 2.1605
0.2415 7.29 77.43 1.9135 1.8655
0.2019 9.63 72.03 1.9895 2.0854999999999997
0.12689999999999999 5.91 63.27 2.2245 2.1414999999999997
0.2025 4.11 70.59 2.1334999999999997 2.2994999999999997
0.0105 17.669999999999998 79.59 1.8555 1.9385
0.0633 1.9500000000000002 85.23 1.8855 1.8175000000000001
0.1479 25.53 72.09 2.0185 1.9475
0.17429999999999998 7.2299999999999995 65.31 2.2205 2.2824999999999998
0.1815 3.33 66.57 1.8625 2.0084999999999997
0.1911 17.61 70.05 1.9915 2.0444999999999998
0.0387 4.35 86.37 2.1315 2.1955
0.0711 0.21 88.05 2.2304999999999997 1.9255
0.015299999999999998 22.89 74.01 2.1075 1.9945
0.1197 25.11 66.33 2.2845 1.8505
0.15209999999999999 4.65 81.09 2.0635 2.2535
0.29009999999999997 13.71 73.89 1.8525 1.9675
0.2727 19.05 84.03 2.2215 1.9085
0.015899999999999997 11.19 75.03 1.8325 2.0725
0.06269999999999999 22.11 74.97 2.1895 2.2195
0.2775 6.51 84.69 2.2055 2.1345
0.1683 22.29 86.85 1.8815 1.9115
0.2541 29.85 74.13 2.1745 2.2965
0.0045 23.61 88.53 2.1485 2.0925
0.027299999999999998 21.81 61.59 1.9105 2.2155
0.2793 22.53 88.17 2.2675 2.1125
0.2049 15.21 65.97 1.8155000000000001 1.9035
0.21269999999999997 3.75 83.31 1.8055 2.2975
0.1617 18.09 81.87 1.9435 1.8215000000000001
0.12090000000000001 16.05 66.93 1.9475 2.1464999999999996
0.2949 10.41 89.25 1.8845 1.8545
0.0921 29.49 87.81 1.8785 1.9184999999999999
0.16889999999999997 3.09 61.05 1.8595 2.1574999999999998
0.2697 29.73 89.00999999999999 2.0725 2.1544999999999996
0.0495 28.47 88.65 2.0575 2.1055
0.17609999999999998 16.830000000000002 62.79 2.0244999999999997 1.8955
0.1545 19.41 87.15 2.1704999999999997 2.1534999999999997
0.0063 3.87 71.25 1.9295 2.2664999999999997
0.005699999999999999 29.91 65.19 2.1374999999999997 1.9825
0.2421 18.03 64.53 1.8265 2.2104999999999997
0.0489 15.09 78.75 2.0284999999999997 1.8525
0.1509 10.649999999999999 80.61 2.0615 2.0865
0.12269999999999999 10.290000000000001 74.61 1.8925 2.0835
0.26489999999999997 4.050000000000001 87.75 1.9325 2.1505
0.2301 24.81 87.87 2.2235 1.9905
0.24869999999999998 2.0100000000000002 61.11 1.9815 1.8995
0.0681 18.509999999999998 86.78999999999999 2.1925 2.0965
0.0219 14.25 67.11 1.9125 2.0595
0.0099 28.89 67.77 2.0075 2.0404999999999998
0.12209999999999999 28.110000000000003 62.85 2.2464999999999997 2.2855
0.0861 19.59 68.13 1.8195000000000001 2.2634999999999996
0.2721 18.87 63.51 2.0934999999999997 2.1614999999999998
0.14429999999999998 5.130000000000001 84.87 1.8045 2.2165
0.2865 7.41 86.31 1.8285 1.9715
0.0669 7.53 83.73 2.2885 2.0975
0.1539 20.130000000000003 63.03 2.2144999999999997 2.2485
0.1581 12.81 78.33 2.2984999999999998 2.0045
0.030899999999999997 19.29 82.71000000000001 2.2405 2.2365
0.0087 24.389999999999997 62.67 1.8375000000000001 1.9055
0.1917 23.67 60.27 1.9115 1.8555
0.0423 20.19 79.65 2.1285 2.0955
0.0477 18.45 62.43 2.2794999999999996 1.8075
0.2763 0.09 86.67 2.1225 2.2815
0.0717 27.810000000000002 82.53 1.9385 2.0655
0.1881 27.450000000000003 69.21 2.2264999999999997 1.8735
0.28169999999999995 4.890000000000001 78.50999999999999 2.0115 1.9335
0.0075 13.41 89.73 1.8535 2.1185
0.0093 28.349999999999998 87.45 2.2515 1.8765
0.012899999999999998 15.51 61.29 1.8135000000000001 1.9285
0.21089999999999998 20.25 65.67 2.1385 1.9555
0.045899999999999996 24.21 89.61 2.2744999999999997 2.0115
0.2517 8.91 61.89 1.8455 1.9585
0.2667 26.37 85.77 1.9465 2.1425
0.2637 19.71 67.17 1.9825 2.2285
0.10529999999999999 11.91 64.77 1.8585 2.0635
0.0567 1.65 75.87 1.8095 1.9835
0.11009999999999999 10.469999999999999 63.81 2.2925 2.2504999999999997
0.0237 5.73 63.39 1.8905 2.2624999999999997
0.2103 7.05 62.73 1.9855 2.2805
0.2661 3.15 87.27 2.0125 1.9965
0.0303 11.73 86.00999999999999 2.1975 2.2304999999999997
0.2643 0.8099999999999999 66.51 2.1715 1.9395
0.0026999999999999997 9.69 65.79 2.2175 2.2335
0.025500000000000002 14.85 63.63 2.2024999999999997 1.9915
0.028499999999999998 25.95 81.69 1.9455 2.2834999999999996
0.2631 12.09 86.55 1.8805 2.1494999999999997
0.2829 26.97 76.53 2.2544999999999997 2.0815
0.0825 2.43 86.91 1.9335 2.0895
0.0777 22.95 62.19 1.9085 1.9515
0.22949999999999998 24.03 85.41 2.2335 1.8015
0.08310000000000001 14.91 79.53 2.2965 2.1665
0.29369999999999996 11.67 64.65 1.8745 2.1925
0.0999 29.07 77.25 1.8025 1.8405
0.1341 4.2299999999999995 89.31 2.0665 2.2255
0.1965 29.009999999999998 85.71000000000001 1.8645 1.9855
0.08549999999999999 13.47 65.25 2.0465 2.2954999999999997
0.1449 3.99 88.41 2.2754999999999996 1.9235
0.26189999999999997 3.69 63.87 1.8475 2.0675
0.054299999999999994 4.59 75.27 2.0865 2.2615
0.07289999999999999 11.07 73.17 2.2595 1.9445
0.0405 29.13 76.77000000000001 2.0415 2.2245
0.1569 23.37 74.73 1.8945 2.1645
0.1467 0.32999999999999996 75.99 2.0955 1.8045
0.22769999999999999 28.95 62.49 2.0164999999999997 2.2685
0.24629999999999996 28.169999999999998 61.47 2.0155 1.9045
0.0771 12.33 83.91 1.8405 1.9755
0.0765 21.09 66.09 1.9355 1.8005
0.1575 7.71 86.13 1.8955 2.0075
