unknown;true value;Edge_e,Pit_e-WL_e,WL_d2
quality;;0.697±0.002
a-Fe2O3;6.0;5.25
akermanite;4.0;2.89
andradite;6.0;5.22
Aouelloul glass;nan;3.95
Australite-1;nan;3.9
Australite-2;nan;3.96
Cambodianite;nan;3.98
Darwin glass;nan;4.6
Fe23O4;5.34;4.3
Fe2SiO4;6.0;5.05
Fe@SiO2_1;4.0;3.63
Fe@SiO2_2;2.0;2.93
Fe@SiO2_3;4.0;3.63
Fe@SiO2_4;2.9;3.48
Fe@SiO2_5;nan;3.69
FeII fumarate;4.0;3.16
FeII siloxide;4.0;3.03
FeIII siloxide;4.0;4.57
g-Fe2O3;5.34;5.3
glass_0.01;nan;3.7
glass_0.28;nan;3.81
glass_0.54;nan;3.85
glass_0.67;nan;3.59
glass_0.87;nan;4.55
grandidierite;5.0;5.28
h1;nan;3.67
h10;nan;3.95
h2;nan;3.29
h3;nan;3.88
h4;nan;3.59
h5;nan;3.54
h6;nan;4.31
h7;nan;3.77
h8;nan;3.77
Indoshinite;nan;4.27
Irghisite-1;nan;3.91
Irghisite-2;nan;3.91
Irghizite;nan;3.57
kirschsteinite;6.0;5.9
Lybian desert glass;nan;3.8
Moldavite-1;nan;3.77
Moldavite-2;nan;4.08
Muong-Nong-1;nan;3.99
Muong-Nong-2;nan;3.96
NaFeSi2O6;6.0;5.78
Ries suevite;nan;5.46
siderite;6.0;4.59
staurolite;4.0;3.08
Wabar glass;nan;4.1
yoderite;5.0;5.77
Zhamanshinite-1;nan;3.49
Zhamanshinite-3;nan;4.73
Zhamanshinite-4;nan;4.82
Zhamanshinite-5;nan;4.68
quality by exp;1;0.547
