unknown;true value;Edge_e,WL_e,Pit_e
quality;;0.882±0.000
a-Fe2O3;2.03;1.99
akermanite;nan;2.01
andradite;2.03;2
Aouelloul glass;nan;2.04
Australite-1;nan;2.04
Australite-2;2.01;2.07
Cambodianite;2.02;2.07
Darwin glass;nan;2.08
Fe23O4;2.01;1.99
Fe2SiO4;2.19;2.14
Fe@SiO2_1;1.99;2.04
Fe@SiO2_2;1.92;2.01
Fe@SiO2_3;1.99;2.04
Fe@SiO2_4;1.93;1.97
Fe@SiO2_5;nan;2.06
FeII fumarate;nan;2.11
FeII siloxide;2.0;1.99
FeIII siloxide;1.9;1.84
g-Fe2O3;2.01;1.97
glass_0.01;nan;2.04
glass_0.28;nan;1.99
glass_0.54;nan;1.95
glass_0.67;nan;1.92
glass_0.87;nan;1.9
grandidierite;nan;2.09
h1;nan;1.95
h10;nan;1.96
h2;nan;2.02
h3;nan;2.02
h4;nan;2.02
h5;nan;1.97
h6;nan;1.96
h7;nan;1.97
h8;nan;2.05
Indoshinite;nan;2.05
Irghisite-1;nan;2.02
Irghisite-2;nan;2.02
Irghizite;nan;2.01
kirschsteinite;2.18;2.14
Lybian desert glass;nan;2.03
Moldavite-1;nan;2.05
Moldavite-2;1.99;2.05
Muong-Nong-1;nan;2.07
Muong-Nong-2;nan;2.06
NaFeSi2O6;2.02;2.01
Ries suevite;nan;2.07
siderite;2.14;2.15
staurolite;nan;2.05
Wabar glass;nan;2.05
yoderite;nan;1.98
Zhamanshinite-1;nan;1.99
Zhamanshinite-3;nan;2
Zhamanshinite-4;nan;2
Zhamanshinite-5;nan;2.09
quality by exp;1;0.651
