unknown;true value;WL_e,Pit_e,rPCA2
quality;;0.441±0.002
a-Fe2O3;6.0;5.56
akermanite;4.0;3.47
andradite;6.0;5.4
Aouelloul glass;nan;4.09
Australite-1;nan;4.07
Australite-2;nan;4.2
Cambodianite;nan;4.31
Darwin glass;nan;4.42
Fe23O4;5.34;4.56
Fe2SiO4;6.0;5.5
Fe@SiO2_1;4.0;4.26
Fe@SiO2_2;2.0;3.21
Fe@SiO2_3;4.0;4.38
Fe@SiO2_4;2.9;4.13
Fe@SiO2_5;nan;4.1
FeII fumarate;4.0;3.91
FeII siloxide;4.0;3.62
FeIII siloxide;4.0;3.99
g-Fe2O3;5.34;5.22
glass_0.01;nan;3.52
glass_0.28;nan;3.87
glass_0.54;nan;3.96
glass_0.67;nan;3.99
glass_0.87;nan;4.09
grandidierite;5.0;4.99
h1;nan;4.23
h10;nan;4.36
h2;nan;3.77
h3;nan;4.04
h4;nan;3.85
h5;nan;4.45
h6;nan;4.63
h7;nan;4.39
h8;nan;4.1
Indoshinite;nan;4.51
Irghisite-1;nan;3.96
Irghisite-2;nan;4.03
Irghizite;nan;3.78
kirschsteinite;6.0;5.92
Lybian desert glass;nan;3.59
Moldavite-1;nan;3.73
Moldavite-2;nan;3.99
Muong-Nong-1;nan;4.17
Muong-Nong-2;nan;4.25
NaFeSi2O6;6.0;5.55
Ries suevite;nan;5.19
siderite;6.0;5.92
staurolite;4.0;3.69
Wabar glass;nan;4.44
yoderite;5.0;5.39
Zhamanshinite-1;nan;4.19
Zhamanshinite-3;nan;4.32
Zhamanshinite-4;nan;5.02
Zhamanshinite-5;nan;4.66
quality by exp;1;0.781
