unknown;true value;WL_i,Pit_i,rPCA2
quality;;0.899±0.000
a-Fe2O3;2.03;2
akermanite;nan;2.02
andradite;2.03;2.01
Aouelloul glass;nan;2.03
Australite-1;nan;2.01
Australite-2;2.01;2.04
Cambodianite;2.02;2.05
Darwin glass;nan;2.07
Fe23O4;2.01;1.98
Fe2SiO4;2.19;2.21
Fe@SiO2_1;1.99;2.01
Fe@SiO2_2;1.92;1.95
Fe@SiO2_3;1.99;2.01
Fe@SiO2_4;1.93;1.94
Fe@SiO2_5;nan;2.03
FeII fumarate;nan;2.13
FeII siloxide;2.0;1.98
FeIII siloxide;1.9;1.92
g-Fe2O3;2.01;1.95
glass_0.01;nan;2
glass_0.28;nan;1.96
glass_0.54;nan;1.92
glass_0.67;nan;1.91
glass_0.87;nan;1.89
grandidierite;nan;2.02
h1;nan;1.93
h10;nan;1.95
h2;nan;1.99
h3;nan;2.01
h4;nan;2.01
h5;nan;1.94
h6;nan;1.93
h7;nan;1.98
h8;nan;2.04
Indoshinite;nan;2.03
Irghisite-1;nan;1.98
Irghisite-2;nan;1.99
Irghizite;nan;1.99
kirschsteinite;2.18;2.18
Lybian desert glass;nan;1.97
Moldavite-1;nan;2.01
Moldavite-2;1.99;2.03
Muong-Nong-1;nan;2.04
Muong-Nong-2;nan;2.03
NaFeSi2O6;2.02;2.03
Ries suevite;nan;2.05
siderite;2.14;2.18
staurolite;nan;1.99
Wabar glass;nan;2.03
yoderite;nan;1.94
Zhamanshinite-1;nan;1.96
Zhamanshinite-3;nan;1.97
Zhamanshinite-4;nan;1.96
Zhamanshinite-5;nan;2.05
quality by exp;1;0.873
