unknown;true value;Edge_e,WL_e,PCA3
quality;;0.551±0.001
a-Fe2O3;3.0;2.99
akermanite;2.0;2.2
andradite;3.0;2.99
Aouelloul glass;2.3;2.48
Australite-1;2.11;2.17
Australite-2;2.0;2.15
Cambodianite;2.0;2.07
Darwin glass;2.0;2.15
Fe23O4;2.67;2.51
Fe2SiO4;2.0;2.06
Fe@SiO2_1;2.0;2.21
Fe@SiO2_2;2.0;2.05
Fe@SiO2_3;2.0;2.21
Fe@SiO2_4;2.0;2.21
Fe@SiO2_5;2.0;2.21
FeII fumarate;2.0;2.18
FeII siloxide;2.0;2.06
FeIII siloxide;3.0;2.9
g-Fe2O3;3.0;2.98
glass_0.01;2.0;2.02
glass_0.28;2.28;2.16
glass_0.54;2.54;2.38
glass_0.67;2.67;2.63
glass_0.87;2.87;2.94
grandidierite;2.0;2.04
h1;2.6;2.61
h10;2.55;2.76
h2;2.32;2.29
h3;2.2;2.26
h4;2.27;2.34
h5;2.5;2.54
h6;2.7;2.85
h7;2.5;2.47
h8;2.17;2.33
Indoshinite;2.06;2.11
Irghisite-1;2.3;2.16
Irghisite-2;nan;2.17
Irghizite;2.4;2.42
kirschsteinite;2.0;2.06
Lybian desert glass;2.8;2.61
Moldavite-1;2.13;2.07
Moldavite-2;2.15;2.11
Muong-Nong-1;nan;2.09
Muong-Nong-2;2.19;2.13
NaFeSi2O6;3.0;2.97
Ries suevite;2.3;2.28
siderite;2.0;2.13
staurolite;2.0;2.1
Wabar glass;2.2;2.43
yoderite;3.0;2.98
Zhamanshinite-1;2.33;2.29
Zhamanshinite-3;nan;2.48
Zhamanshinite-4;2.84;2.84
Zhamanshinite-5;nan;2.09
quality by exp;1;0.889
